stationname,parameter,date,hour,conc
Cerqueira César,CO,2020-04-02,11,0.4
Cerqueira César,CO,2020-04-02,12,
Cerqueira César,CO,2020-04-02,13,0.5
Cerqueira César,CO,2020-04-02,14,0.4
Cerqueira César,CO,2020-04-02,15,0.4
Cerqueira César,CO,2020-04-02,16,0.4
Cerqueira César,CO,2020-04-02,17,0.4
Cerqueira César,CO,2020-04-02,18,0.4
Cerqueira César,CO,2020-04-02,19,0.3
Cerqueira César,CO,2020-04-02,20,0.8
Cerqueira César,CO,2020-04-02,21,1.1
Cerqueira César,CO,2020-04-02,22,0.9
Cerqueira César,CO,2020-04-02,23,0.6
Cerqueira César,CO,2020-04-02,24,0.5
Cerqueira César,CO,2020-04-03,1,0.4
Cerqueira César,CO,2020-04-03,2,0.3
Cerqueira César,CO,2020-04-03,3,0.2
Cerqueira César,CO,2020-04-03,4,0.2
Cerqueira César,CO,2020-04-03,5,
Cerqueira César,CO,2020-04-03,6,0.3
Cerqueira César,CO,2020-04-03,7,0.6
Cerqueira César,CO,2020-04-03,8,0.5
Cerqueira César,CO,2020-04-03,9,0.5
Cerqueira César,CO,2020-04-03,10,0.6
Cerqueira César,CO,2020-04-03,11,0.6
Cerqueira César,CO,2020-04-03,12,0.5
Cerqueira César,CO,2020-04-03,13,0.5
Cerqueira César,CO,2020-04-03,14,0.6
Cerqueira César,CO,2020-04-03,15,0.4
Cerqueira César,CO,2020-04-03,16,0.5
Cerqueira César,CO,2020-04-03,17,0.3
Cerqueira César,CO,2020-04-03,18,0.2
Cerqueira César,CO,2020-04-03,19,0.1
Cerqueira César,CO,2020-04-03,20,0.1
Cerqueira César,CO,2020-04-03,21,0.1
Cerqueira César,CO,2020-04-03,22,0.1
Cerqueira César,CO,2020-04-03,23,0.1
Cerqueira César,CO,2020-04-03,24,0.1
Cerqueira César,CO,2020-04-04,1,0.1
Cerqueira César,CO,2020-04-04,2,0
Cerqueira César,CO,2020-04-04,3,0
Cerqueira César,CO,2020-04-04,4,0
Cerqueira César,CO,2020-04-04,5,
Cerqueira César,CO,2020-04-04,6,0.1
Cerqueira César,CO,2020-04-04,7,0.1
Cerqueira César,CO,2020-04-04,8,0.2
Cerqueira César,CO,2020-04-04,9,0.2
Cerqueira César,CO,2020-04-04,10,0.2
Cerqueira César,CO,2020-04-04,11,0.2
